nout	nsum	cfl	tlength	tsum	dmax1	vmax1	dmax2	vmax2	dmax3	vmax3	volume1	volume2	volume3	ekin
R	-----	-----	-----	-----	*1.000	-----	*0.000	-----	*0.000	-----	*81600.000	*0.000	*0.000	-----
0	0	-----	-----	0.0	1.000	0.00	0.000	0.00	0.000	0.00	81600.000	0.000	0.000	-----
1	13	0.397	29.2	10.4	1.406	21.64	0.000	0.00	0.000	0.00	81591.602	0.000	0.000	32999655424
2	31	0.390	29.1	20.5	2.979	21.58	0.000	0.00	0.000	0.00	81577.992	0.000	0.000	23452076032
3	47	0.395	35.7	30.3	3.137	17.58	0.000	0.00	0.000	0.00	81563.172	0.000	0.000	16100157440
4	60	0.395	43.7	40.2	2.777	14.07	0.000	0.00	0.000	0.00	81539.234	0.000	0.000	11411168256
5	71	0.392	53.7	50.4	2.296	11.58	0.000	0.00	0.000	0.00	81518.477	0.000	0.000	7563685888
6	80	0.389	63.5	60.6	1.817	9.78	0.000	0.00	0.000	0.00	81489.562	0.000	0.000	4212026368
7	87	0.379	73.1	70.0	1.589	8.50	0.000	0.00	0.000	0.00	81474.250	0.000	0.000	1887666944
8	94	0.380	83.8	80.7	1.489	7.48	0.000	0.00	0.000	0.00	81450.047	0.000	0.000	813881024
9	100	0.374	94.9	91.3	1.430	6.52	0.000	0.00	0.000	0.00	81425.641	0.000	0.000	443486560
10	105	0.374	106.6	101.3	1.387	5.13	0.000	0.00	0.000	0.00	81400.758	0.000	0.000	276124000
11	109	0.380	118.1	110.1	1.355	3.83	0.000	0.00	0.000	0.00	81380.547	0.000	0.000	190319568
12	114	0.388	127.8	122.1	1.319	3.76	0.000	0.00	0.000	0.00	81355.094	0.000	0.000	125795776
13	118	0.387	139.3	132.5	1.293	2.95	0.000	0.00	0.000	0.00	81328.516	0.000	0.000	95865704
14	121	0.394	148.1	140.8	1.275	2.67	0.000	0.00	0.000	0.00	81306.828	0.000	0.000	80204272
15	125	0.400	159.4	152.5	1.252	2.24	0.000	0.00	0.000	0.00	81281.625	0.000	0.000	63163716
16	128	0.399	166.8	160.9	1.236	1.67	0.000	0.00	0.000	0.00	81263.148	0.000	0.000	48251640
17	132	0.393	128.9	172.4	1.215	1.71	0.000	0.00	0.000	0.00	81237.383	0.000	0.000	45622196
18	135	0.400	182.3	182.3	1.201	1.92	0.000	0.00	0.000	0.00	81217.477	0.000	0.000	39566936
19	138	0.329	131.2	191.1	1.187	2.09	0.000	0.00	0.000	0.00	81201.945	0.000	0.000	38406248
20	141	0.328	132.3	200.0	1.174	1.65	0.000	0.00	0.000	0.00	81187.523	0.000	0.000	36534664
21	145	0.375	187.8	212.9	1.157	1.91	0.000	0.00	0.000	0.00	81161.180	0.000	0.000	29537942
22	148	0.387	194.0	223.4	1.145	1.72	0.000	0.00	0.000	0.00	81138.359	0.000	0.000	31022296
23	150	0.398	192.0	230.8	1.138	1.45	0.000	0.00	0.000	0.00	81125.203	0.000	0.000	30017372
24	153	0.398	144.6	241.3	1.126	1.54	0.000	0.00	0.000	0.00	81107.883	0.000	0.000	27536882
25	156	0.392	198.2	251.7	1.115	1.97	0.000	0.00	0.000	0.00	81090.430	0.000	0.000	29036362
26	159	0.383	186.3	263.0	1.105	1.10	0.000	0.00	0.000	0.00	81070.461	0.000	0.000	30792056
27	162	0.388	102.4	272.5	1.095	2.64	0.000	0.00	0.000	0.00	81059.742	0.000	0.000	28869564
28	165	0.367	123.7	282.9	1.085	2.41	0.000	0.00	0.000	0.00	81040.906	0.000	0.000	28682572
29	168	0.394	136.4	292.9	1.076	1.92	0.000	0.00	0.000	0.00	81025.312	0.000	0.000	30539016
30	171	0.330	145.6	302.3	1.067	2.06	0.000	0.00	0.000	0.00	81012.258	0.000	0.000	30202534
