nout	nsum	z0_vflow1	z0vchange1	z0_vflow2	z0vchange2	z0_vflow3	z0vchange3
0	0	81600.000	0	0.000	0	0.000	0
1	10.4	81591.602	0.000	0.000	0.000	0.000	0.000
2	20.5	81577.992	0.000	0.000	0.000	0.000	0.000
3	30.3	81563.172	0.000	0.000	0.000	0.000	0.000
4	40.2	81539.234	0.000	0.000	0.000	0.000	0.000
5	50.4	81518.477	0.000	0.000	0.000	0.000	0.000
6	60.6	81489.562	0.000	0.000	0.000	0.000	0.000
7	70.0	81474.250	0.000	0.000	0.000	0.000	0.000
8	80.7	81450.047	0.000	0.000	0.000	0.000	0.000
9	91.3	81425.641	0.000	0.000	0.000	0.000	0.000
10	101.3	81400.758	0.000	0.000	0.000	0.000	0.000
11	110.1	81380.547	0.000	0.000	0.000	0.000	0.000
12	122.1	81355.094	0.000	0.000	0.000	0.000	0.000
13	132.5	81328.516	0.000	0.000	0.000	0.000	0.000
14	140.8	81306.828	0.000	0.000	0.000	0.000	0.000
15	152.5	81281.625	0.000	0.000	0.000	0.000	0.000
16	160.9	81263.148	0.000	0.000	0.000	0.000	0.000
17	172.4	81237.383	0.000	0.000	0.000	0.000	0.000
18	182.3	81217.477	0.000	0.000	0.000	0.000	0.000
19	191.1	81201.945	0.000	0.000	0.000	0.000	0.000
20	200.0	81187.523	0.000	0.000	0.000	0.000	0.000
21	212.9	81161.180	0.000	0.000	0.000	0.000	0.000
22	223.4	81138.359	0.000	0.000	0.000	0.000	0.000
23	230.8	81125.203	0.000	0.000	0.000	0.000	0.000
24	241.3	81107.883	0.000	0.000	0.000	0.000	0.000
25	251.7	81090.430	0.000	0.000	0.000	0.000	0.000
26	263.0	81070.461	0.000	0.000	0.000	0.000	0.000
27	272.5	81059.742	0.000	0.000	0.000	0.000	0.000
28	282.9	81040.906	0.000	0.000	0.000	0.000	0.000
29	292.9	81025.312	0.000	0.000	0.000	0.000	0.000
30	302.3	81012.258	0.000	0.000	0.000	0.000	0.000
