#Data contains: GPS time of week of the navigation epoch (ms),UTC [year:month:day:minute:second],fix Type[0-5],longitude[deg],latitude[deg],height[mm],sync signal [ms],Temp [°C]#,GNSS Time [UTC],height[m]
114664500,2021:3:15:7:50:46,3,11.3832741,47.3121551,2341301,1,8.63,2021-03-15 07:50:46,2341.301
114664600,2021:3:15:7:50:46,3,11.383274,47.3121551,2341303,1,8.63,2021-03-15 07:50:46,2341.303
114664700,2021:3:15:7:50:46,3,11.383274,47.3121553,2341257,1,8.63,2021-03-15 07:50:46,2341.257
114664800,2021:3:15:7:50:46,3,11.3832739,47.3121554,2341229,1,8.63,2021-03-15 07:50:46,2341.229
114664900,2021:3:15:7:50:46,3,11.383274,47.3121555,2341237,1,8.63,2021-03-15 07:50:46,2341.237
114665000,2021:3:15:7:50:47,3,11.383274,47.3121558,2341178,1,8.63,2021-03-15 07:50:47,2341.178
114665100,2021:3:15:7:50:47,3,11.3832739,47.3121558,2341175,1,8.63,2021-03-15 07:50:47,2341.175
114665200,2021:3:15:7:50:47,3,11.3832738,47.3121559,2341171,0,8.63,2021-03-15 07:50:47,2341.171
114665300,2021:3:15:7:50:47,3,11.3832737,47.3121561,2341120,0,8.63,2021-03-15 07:50:47,2341.12
114665400,2021:3:15:7:50:47,3,11.3832735,47.3121561,2341090,0,8.63,2021-03-15 07:50:47,2341.09
114665500,2021:3:15:7:50:47,3,11.3832733,47.3121562,2341087,0,8.63,2021-03-15 07:50:47,2341.087
114665600,2021:3:15:7:50:47,3,11.3832732,47.3121563,2341054,0,8.63,2021-03-15 07:50:47,2341.054
114665700,2021:3:15:7:50:47,3,11.3832729,47.3121563,2341074,0,8.63,2021-03-15 07:50:47,2341.074
114665800,2021:3:15:7:50:47,3,11.3832728,47.3121566,2341015,0,8.63,2021-03-15 07:50:47,2341.015
114665900,2021:3:15:7:50:47,3,11.3832724,47.3121565,2341016,0,8.63,2021-03-15 07:50:47,2341.016
114666000,2021:3:15:7:50:48,3,11.3832723,47.3121569,2340958,0,8.63,2021-03-15 07:50:48,2340.958
114666100,2021:3:15:7:50:48,3,11.3832721,47.3121571,2340887,0,8.63,2021-03-15 07:50:48,2340.887
114666200,2021:3:15:7:50:48,3,11.383272,47.3121572,2340865,1,8.63,2021-03-15 07:50:48,2340.865
114666300,2021:3:15:7:50:48,3,11.3832717,47.3121574,2340844,1,8.63,2021-03-15 07:50:48,2340.844
114666400,2021:3:15:7:50:48,3,11.3832716,47.3121577,2340774,1,8.63,2021-03-15 07:50:48,2340.774
114666500,2021:3:15:7:50:48,3,11.3832711,47.3121576,2340799,1,8.63,2021-03-15 07:50:48,2340.799
114666600,2021:3:15:7:50:48,3,11.383271,47.3121578,2340769,1,8.63,2021-03-15 07:50:48,2340.769
114666700,2021:3:15:7:50:48,3,11.3832709,47.312158,2340708,1,8.63,2021-03-15 07:50:48,2340.708
114666800,2021:3:15:7:50:48,3,11.3832705,47.3121579,2340802,1,8.63,2021-03-15 07:50:48,2340.802
114666900,2021:3:15:7:50:48,3,11.3832703,47.312158,2340767,1,8.63,2021-03-15 07:50:48,2340.767
114667000,2021:3:15:7:50:49,3,11.3832702,47.312158,2340788,1,8.63,2021-03-15 07:50:49,2340.788
114667100,2021:3:15:7:50:49,3,11.38327,47.3121581,2340817,1,8.63,2021-03-15 07:50:49,2340.817
114667200,2021:3:15:7:50:49,3,11.3832698,47.3121581,2340818,0,8.63,2021-03-15 07:50:49,2340.818
114667300,2021:3:15:7:50:49,3,11.3832695,47.3121583,2340830,0,8.63,2021-03-15 07:50:49,2340.83
114667400,2021:3:15:7:50:49,3,11.3832693,47.3121584,2340781,0,8.63,2021-03-15 07:50:49,2340.781
114667500,2021:3:15:7:50:49,3,11.3832691,47.3121583,2340833,0,8.63,2021-03-15 07:50:49,2340.833
114667600,2021:3:15:7:50:49,3,11.3832691,47.3121586,2340805,0,8.63,2021-03-15 07:50:49,2340.805
114667700,2021:3:15:7:50:49,3,11.3832686,47.3121587,2340763,0,8.63,2021-03-15 07:50:49,2340.763
114667800,2021:3:15:7:50:49,3,11.3832686,47.3121585,2340823,0,8.63,2021-03-15 07:50:49,2340.823
114667900,2021:3:15:7:50:49,3,11.3832682,47.3121586,2340809,0,8.63,2021-03-15 07:50:49,2340.809
114668000,2021:3:15:7:50:50,3,11.3832681,47.3121588,2340766,0,8.63,2021-03-15 07:50:50,2340.766
114668100,2021:3:15:7:50:50,3,11.3832679,47.3121589,2340757,0,8.63,2021-03-15 07:50:50,2340.757
114668200,2021:3:15:7:50:50,3,11.3832676,47.3121591,2340729,1,8.63,2021-03-15 07:50:50,2340.729
114668300,2021:3:15:7:50:50,3,11.3832676,47.3121593,2340649,1,8.63,2021-03-15 07:50:50,2340.649
114668400,2021:3:15:7:50:50,3,11.3832673,47.3121594,2340652,1,8.63,2021-03-15 07:50:50,2340.652
114668500,2021:3:15:7:50:50,3,11.3832671,47.3121595,2340585,1,8.63,2021-03-15 07:50:50,2340.585
114668600,2021:3:15:7:50:50,3,11.3832671,47.3121599,2340519,1,8.63,2021-03-15 07:50:50,2340.519
114668700,2021:3:15:7:50:50,3,11.3832669,47.3121601,2340471,1,8.63,2021-03-15 07:50:50,2340.471
114668800,2021:3:15:7:50:50,3,11.3832669,47.3121604,2340362,1,8.63,2021-03-15 07:50:50,2340.362
114668900,2021:3:15:7:50:50,3,11.3832668,47.3121607,2340283,1,8.63,2021-03-15 07:50:50,2340.283
