,#Data contains:GPS time of week of the navigation epoch (ms),UTC [year:month:day:minute:second],fix Type[0-5],longitude[deg],latitude[deg],height[mm],rising edge sync signal,Temp[°C]#
14542,205338000,2021-03-16 09:02:00,3,11.3833228,47.3122055,2325.414,0,6.75
14543,205338100,2021-03-16 09:02:00,3,11.3833225,47.3122058,2325.416,0,6.75
14544,205338200,2021-03-16 09:02:00,3,11.3833224,47.3122058,2325.413,0,6.75
14545,205338300,2021-03-16 09:02:00,3,11.3833221,47.3122061,2325.407,0,6.75
14546,205338400,2021-03-16 09:02:00,3,11.3833222,47.3122063,2325.38,0,6.75
14547,205338500,2021-03-16 09:02:00,3,11.3833221,47.3122061,2325.391,1,6.75
14548,205338600,2021-03-16 09:02:00,3,11.3833222,47.3122062,2325.371,1,6.75
14549,205338700,2021-03-16 09:02:00,3,11.3833221,47.3122061,2325.351,1,6.75
14550,205338800,2021-03-16 09:02:00,3,11.3833224,47.312206,2325.335,1,6.75
14551,205338900,2021-03-16 09:02:00,3,11.3833222,47.3122064,2325.279,1,6.75
14552,205339000,2021-03-16 09:02:01,3,11.3833223,47.3122066,2325.283,1,6.75
14553,205339100,2021-03-16 09:02:01,3,11.3833224,47.3122065,2325.269,1,6.75
14554,205339200,2021-03-16 09:02:01,3,11.3833225,47.3122067,2325.241,1,6.75
14555,205339300,2021-03-16 09:02:01,3,11.3833226,47.3122069,2325.188,1,6.75
14556,205339400,2021-03-16 09:02:01,3,11.383323,47.3122071,2325.182,1,6.75
14557,205339500,2021-03-16 09:02:01,3,11.3833229,47.3122074,2325.088,0,6.75
14558,205339600,2021-03-16 09:02:01,3,11.3833232,47.3122075,2325.106,0,6.75
14559,205339700,2021-03-16 09:02:01,3,11.3833235,47.3122078,2325.09,0,6.75
14560,205339800,2021-03-16 09:02:01,3,11.3833234,47.3122079,2325.119,0,6.75
14561,205339900,2021-03-16 09:02:01,3,11.3833237,47.312208,2325.131,0,6.75
14562,205340000,2021-03-16 09:02:02,3,11.3833236,47.3122083,2325.116,0,6.75
14563,205340100,2021-03-16 09:02:02,3,11.3833237,47.3122083,2325.158,0,6.75
14564,205340200,2021-03-16 09:02:02,3,11.3833239,47.3122084,2325.148,0,6.75
14565,205340300,2021-03-16 09:02:02,3,11.383324,47.3122085,2325.122,0,6.75
14566,205340400,2021-03-16 09:02:02,3,11.383324,47.3122088,2325.108,0,6.75
14567,205340500,2021-03-16 09:02:02,3,11.383324,47.3122089,2325.083,1,6.75
14568,205340600,2021-03-16 09:02:02,3,11.3833241,47.312209,2325.066,1,6.75
14569,205340700,2021-03-16 09:02:02,3,11.383324,47.3122091,2325.053,1,6.75
14570,205340800,2021-03-16 09:02:02,3,11.3833241,47.3122093,2325.063,1,6.75
14571,205340900,2021-03-16 09:02:02,3,11.383324,47.3122095,2325.075,1,6.75
14572,205341000,2021-03-16 09:02:03,3,11.3833241,47.3122094,2325.056,1,6.75
14573,205341100,2021-03-16 09:02:03,3,11.3833239,47.3122097,2325.038,1,6.75
14574,205341200,2021-03-16 09:02:03,3,11.3833238,47.3122098,2325.016,1,6.75
14575,205341300,2021-03-16 09:02:03,3,11.3833236,47.3122101,2325.008,1,6.75
