#Data contains:GPS time of week of the navigation epoch (ms),UTC [year:month:day:minute:second],fix Type[0-5],longitude[deg],latitude[deg],height[mm],rising edge sync signal,Temp[°C]#,GNSS Time [UTC],height[m]
205284400,2021:3:16:9:1:6,3,11.3832934,47.3122466,2324376,0,7.31,2021-03-16 09:01:06,2324.376
205284500,2021:3:16:9:1:6,3,11.3832934,47.3122467,2324370,1,7.31,2021-03-16 09:01:06,2324.37
205284600,2021:3:16:9:1:6,3,11.3832935,47.3122467,2324359,1,7.31,2021-03-16 09:01:06,2324.359
205284700,2021:3:16:9:1:6,3,11.3832935,47.3122465,2324383,1,7.31,2021-03-16 09:01:06,2324.383
205284800,2021:3:16:9:1:6,3,11.3832938,47.3122462,2324396,1,7.31,2021-03-16 09:01:06,2324.396
205284900,2021:3:16:9:1:6,3,11.3832939,47.3122462,2324392,1,7.31,2021-03-16 09:01:06,2324.392
205285000,2021:3:16:9:1:7,3,11.3832941,47.3122464,2324380,1,7.31,2021-03-16 09:01:07,2324.38
205285100,2021:3:16:9:1:7,3,11.3832942,47.3122464,2324364,1,7.31,2021-03-16 09:01:07,2324.364
205285200,2021:3:16:9:1:7,3,11.3832942,47.3122462,2324372,1,7.31,2021-03-16 09:01:07,2324.372
205285300,2021:3:16:9:1:7,3,11.3832944,47.3122461,2324378,1,7.31,2021-03-16 09:01:07,2324.378
205285400,2021:3:16:9:1:7,3,11.3832945,47.312246,2324377,1,7.31,2021-03-16 09:01:07,2324.377
205285500,2021:3:16:9:1:7,3,11.3832948,47.3122461,2324353,0,7.31,2021-03-16 09:01:07,2324.353
205285600,2021:3:16:9:1:7,3,11.3832948,47.3122461,2324361,0,7.31,2021-03-16 09:01:07,2324.361
205285700,2021:3:16:9:1:7,3,11.3832949,47.312246,2324356,0,7.31,2021-03-16 09:01:07,2324.356
205285800,2021:3:16:9:1:7,3,11.3832951,47.3122455,2324367,0,7.31,2021-03-16 09:01:07,2324.367
205285900,2021:3:16:9:1:7,3,11.3832952,47.3122458,2324338,0,7.31,2021-03-16 09:01:07,2324.338
205286000,2021:3:16:9:1:8,3,11.3832955,47.3122458,2324325,0,7.31,2021-03-16 09:01:08,2324.325
205286100,2021:3:16:9:1:8,3,11.3832957,47.3122458,2324325,0,7.31,2021-03-16 09:01:08,2324.325
205286200,2021:3:16:9:1:8,3,11.3832958,47.3122455,2324324,0,7.31,2021-03-16 09:01:08,2324.324
205286300,2021:3:16:9:1:8,3,11.383296,47.3122452,2324340,0,7.31,2021-03-16 09:01:08,2324.34
205286400,2021:3:16:9:1:8,3,11.3832961,47.3122451,2324351,0,7.31,2021-03-16 09:01:08,2324.351
205286500,2021:3:16:9:1:8,3,11.3832963,47.3122449,2324350,1,7.31,2021-03-16 09:01:08,2324.35
