#iTow[ms],utc[year:month:day:hour:minute:second],fixType[0-5],longitude[deg],latitude[deg],height[mm],velN[mm/s],velE[mm/s],velD[mm/s],gSpeed[mm/s],headMot[deg1e-5],pDop[],numSV[],ttff[ms],gpsFlag[],temp[C]#,GNSS Time [UTC],height[m]
26998900,2022:1:23:7:29:40,3,11.3833386,47.3122515,2310418,59,-14,-3,61,31679792,184,10,925375751,0,8.06,2022-01-23 07:29:40,2310.418
26999000,2022:1:23:7:29:41,3,11.3833384,47.3122516,2310427,131,-63,4,145,31679792,184,10,925441287,0,8.06,2022-01-23 07:29:41,2310.427
26999100,2022:1:23:7:29:41,3,11.3833384,47.3122513,2310482,55,-5,-11,55,31679792,184,10,925441287,1,8.06,2022-01-23 07:29:41,2310.482
26999200,2022:1:23:7:29:41,3,11.3833383,47.3122512,2310508,42,-55,-13,70,31679792,184,10,925441287,1,8.06,2022-01-23 07:29:41,2310.508
26999300,2022:1:23:7:29:41,3,11.3833383,47.3122511,2310532,42,-14,-7,45,31679792,184,10,925441287,1,8.06,2022-01-23 07:29:41,2310.532
26999400,2022:1:23:7:29:41,3,11.3833382,47.3122509,2310575,13,-20,-20,24,31679792,184,10,925441287,1,8.06,2022-01-23 07:29:41,2310.575
26999500,2022:1:23:7:29:41,3,11.3833382,47.3122507,2310591,32,-26,-16,41,31679792,184,10,925441287,1,8.06,2022-01-23 07:29:41,2310.591
26999600,2022:1:23:7:29:41,3,11.3833383,47.3122507,2310615,67,30,-17,74,31679792,184,10,925441287,1,8.06,2022-01-23 07:29:41,2310.615
26999700,2022:1:23:7:29:41,3,11.3833381,47.3122505,2310642,46,-49,-18,67,31679792,184,10,925441287,1,8.06,2022-01-23 07:29:41,2310.642
26999800,2022:1:23:7:29:41,3,11.3833382,47.3122503,2310665,37,-18,-13,41,31679792,184,10,925441287,1,8.06,2022-01-23 07:29:41,2310.665
26999900,2022:1:23:7:29:41,3,11.3833383,47.31225,2310712,-1,8,-24,8,31679792,184,10,925441287,1,8.06,2022-01-23 07:29:41,2310.712
27000000,2022:1:23:7:29:42,3,11.3833382,47.3122498,2310723,-17,-22,-20,27,31679792,184,10,925506823,1,8.06,2022-01-23 07:29:42,2310.723
27000100,2022:1:23:7:29:42,3,11.3833383,47.3122497,2310723,-10,11,-7,15,31679792,184,10,925506823,0,8.06,2022-01-23 07:29:42,2310.723
27000200,2022:1:23:7:29:42,3,11.3833385,47.3122494,2310745,-26,60,-14,66,31679792,184,10,925506823,0,8.06,2022-01-23 07:29:42,2310.745
27000300,2022:1:23:7:29:42,3,11.3833385,47.3122493,2310763,-35,22,-13,42,31679792,184,10,925506823,0,8.06,2022-01-23 07:29:42,2310.763
27000400,2022:1:23:7:29:42,3,11.3833385,47.3122491,2310774,-32,34,-4,46,31679792,184,10,925506823,0,8.06,2022-01-23 07:29:42,2310.774
27000500,2022:1:23:7:29:42,3,11.3833385,47.3122492,2310808,43,30,-8,52,31679792,184,10,925506823,0,8.06,2022-01-23 07:29:42,2310.808
27000600,2022:1:23:7:29:42,3,11.3833382,47.3122491,2310852,51,-33,-17,61,31679792,184,10,925506823,0,8.06,2022-01-23 07:29:42,2310.852
27000700,2022:1:23:7:29:42,3,11.3833382,47.312249,2310894,40,-31,-28,51,31679792,184,10,925506823,0,8.06,2022-01-23 07:29:42,2310.894
27000800,2022:1:23:7:29:42,3,11.3833381,47.3122489,2310900,26,-49,-19,55,31679792,184,10,925506823,0,8.06,2022-01-23 07:29:42,2310.9
27000900,2022:1:23:7:29:42,3,11.3833381,47.3122488,2310924,61,-6,-19,61,31679792,184,10,925506823,0,8.06,2022-01-23 07:29:42,2310.924
27001000,2022:1:23:7:29:43,3,11.3833382,47.3122485,2310955,-24,3,-24,24,31679792,184,10,925572359,0,8.06,2022-01-23 07:29:43,2310.955
27001100,2022:1:23:7:29:43,3,11.383338,47.3122485,2310996,36,-30,-28,46,31679792,184,10,925572359,1,8.06,2022-01-23 07:29:43,2310.996
27001200,2022:1:23:7:29:43,3,11.383338,47.3122484,2311015,50,-38,-30,63,31679792,184,10,925572359,1,8.06,2022-01-23 07:29:43,2311.015
27001300,2022:1:23:7:29:43,3,11.3833382,47.3122481,2311020,14,26,-20,30,31679792,184,10,925572359,1,8.06,2022-01-23 07:29:43,2311.02
27001400,2022:1:23:7:29:43,3,11.3833382,47.3122479,2311035,-16,20,-14,26,31679792,184,10,925572359,1,8.06,2022-01-23 07:29:43,2311.035
27001500,2022:1:23:7:29:43,3,11.3833382,47.3122477,2311063,-22,3,-22,22,31679792,184,10,925572359,1,8.06,2022-01-23 07:29:43,2311.063
27001600,2022:1:23:7:29:43,3,11.3833383,47.3122474,2311078,-72,10,-19,73,31679792,184,10,925572359,1,8.06,2022-01-23 07:29:43,2311.078
27001700,2022:1:23:7:29:43,3,11.3833382,47.3122473,2311086,-55,-8,-15,56,31679792,184,10,925572359,1,8.06,2022-01-23 07:29:43,2311.086
27001800,2022:1:23:7:29:43,3,11.3833381,47.3122473,2311148,36,1,-34,36,31679792,184,10,925572359,1,8.06,2022-01-23 07:29:43,2311.148
