#microcontroller time [micro seconds],iTow[ms],utc[year:month:day:hour:minute:second],fixType[0-5],longitude[deg],latitude[deg],height[mm],velN[mm/s],velE[mm/s],velD[mm/s],gSpeed[mm/s],headMot[deg1e-5],pDop[],numSV[],ttff[ms],ambientTemp[C],objectTemp[C],gpsFlag[],check if syncFlag switched [bool],micros of switching time [us]#,date[ms],timestamp,height[m],v_total
3918375970,456510100,2023:2:3:6:48:12,3,11.3831528,47.3121065,2308562,20,22,16,30,2686989,0.00016299999999999998,12,923545606,12.55,4.37,1,-1,0,2023:2:3:6:48:12:100,2023-02-03 06:48:12.100,2308.562,0.033763886032268264
3918472069,456510200,2023:2:3:6:48:12,3,11.3831526,47.3121065,2308586,45,-30,0,54,2686989,0.00016299999999999998,12,923545606,12.63,4.59,1,-1,0,2023:2:3:6:48:12:200,2023-02-03 06:48:12.200,2308.586,0.054083269131959835
3918574805,456510300,2023:2:3:6:48:12,3,11.3831528,47.3121066,2308536,-13,10,16,16,2686989,0.00016299999999999998,12,923545606,12.63,4.59,1,-1,0,2023:2:3:6:48:12:300,2023-02-03 06:48:12.300,2308.536,0.0229128784747792
3918673373,456510400,2023:2:3:6:48:12,3,11.3831528,47.3121066,2308525,12,23,14,26,2686989,0.00016299999999999998,12,923545606,12.63,4.59,1,-1,0,2023:2:3:6:48:12:400,2023-02-03 06:48:12.400,2308.525,0.02947880594596735
3918775593,456510500,2023:2:3:6:48:12,3,11.3831527,47.3121066,2308526,4,-16,9,17,2686989,0.00016299999999999998,12,923545606,12.63,4.59,1,-1,0,2023:2:3:6:48:12:500,2023-02-03 06:48:12.500,2308.526,0.018788294228055936
3918872354,456510600,2023:2:3:6:48:12,3,11.3831527,47.3121067,2308490,23,-13,21,27,2686989,0.00016299999999999998,12,923545606,12.63,4.59,1,-1,0,2023:2:3:6:48:12:600,2023-02-03 06:48:12.600,2308.49,0.03374907406137241
3918971130,456510700,2023:2:3:6:48:12,3,11.3831526,47.3121066,2308512,-7,2,9,8,2686989,0.00016299999999999998,12,923545606,12.63,4.59,1,-1,0,2023:2:3:6:48:12:700,2023-02-03 06:48:12.700,2308.512,0.011575836902790225
3919071967,456510800,2023:2:3:6:48:12,3,11.3831529,47.3121068,2308458,21,62,23,66,2686989,0.00016299999999999998,12,923545606,12.63,4.59,1,-1,0,2023:2:3:6:48:12:800,2023-02-03 06:48:12.800,2308.458,0.06938299503480662
3919172541,456510900,2023:2:3:6:48:12,3,11.3831528,47.3121069,2308437,31,21,18,37,2686989,0.00016299999999999998,12,923545606,12.61,4.07,0,-1,0,2023:2:3:6:48:12:900,2023-02-03 06:48:12.900,2308.437,0.041545156155681974
3919273384,456511000,2023:2:3:6:48:13,3,11.3831527,47.3121068,2308440,18,4,14,18,2686989,0.00016299999999999998,12,923611142,12.61,4.07,0,-1,0,2023:2:3:6:48:13:0,2023-02-03 06:48:13.000,2308.44,0.02315167380558045
3919369079,456511100,2023:2:3:6:48:13,3,11.3831525,47.3121068,2308433,-27,-61,9,66,2686989,0.00016299999999999998,12,923611142,12.61,4.07,0,-1,0,2023:2:3:6:48:13:100,2023-02-03 06:48:13.100,2308.433,0.06731270311018568
3919473601,456511200,2023:2:3:6:48:13,3,11.3831528,47.3121069,2308383,-7,29,22,30,2686989,0.00016299999999999998,12,923611142,12.61,4.07,0,-1,0,2023:2:3:6:48:13:200,2023-02-03 06:48:13.200,2308.383,0.03706750598570128
3919572619,456511300,2023:2:3:6:48:13,3,11.3831526,47.312107,2308397,52,-2,10,53,2686989,0.00016299999999999998,12,923611142,12.61,4.07,0,-1,0,2023:2:3:6:48:13:300,2023-02-03 06:48:13.300,2308.397,0.05299056519796708
3919673476,456511400,2023:2:3:6:48:13,3,11.3831527,47.3121072,2308360,48,22,13,53,2686989,0.000195,11,923611142,12.61,4.07,0,-1,0,2023:2:3:6:48:13:400,2023-02-03 06:48:13.400,2308.36,0.05437830449729009
3919773309,456511500,2023:2:3:6:48:13,3,11.3831529,47.3121073,2308303,16,19,27,25,2686989,0.000195,11,923611142,12.61,4.07,0,-1,0,2023:2:3:6:48:13:500,2023-02-03 06:48:13.500,2308.303,0.036687872655688285
3919872306,456511600,2023:2:3:6:48:13,3,11.383153,47.3121074,2308263,-9,45,27,46,2686989,0.000195,11,923611142,12.61,4.07,0,-1,0,2023:2:3:6:48:13:600,2023-02-03 06:48:13.600,2308.263,0.053244718047896544
3919974373,456511700,2023:2:3:6:48:13,3,11.3831529,47.3121076,2308224,25,-23,32,33,2686989,0.000195,11,923611142,12.61,4.63,0,-1,0,2023:2:3:6:48:13:700,2023-02-03 06:48:13.700,2308.224,0.04666904755831214
3920073404,456511800,2023:2:3:6:48:13,3,11.383153,47.3121076,2308222,43,14,24,45,2686989,0.000195,11,923611142,12.61,4.63,1,-1,0,2023:2:3:6:48:13:800,2023-02-03 06:48:13.800,2308.222,0.051195702944680815
3920172925,456511900,2023:2:3:6:48:13,3,11.383153,47.3121076,2308221,18,10,17,21,2686989,0.000195,11,923611142,12.61,4.63,1,-1,0,2023:2:3:6:48:13:900,2023-02-03 06:48:13.900,2308.221,0.026702059845637376
3920271931,456512000,2023:2:3:6:48:14,3,11.383153,47.3121076,2308195,7,4,21,8,2686989,0.000195,11,923676678,12.61,4.63,1,-1,0,2023:2:3:6:48:14:0,2023-02-03 06:48:14.000,2308.195,0.022494443758403985
3920373114,456512100,2023:2:3:6:48:14,3,11.383153,47.3121076,2308188,-34,-34,15,48,2686989,0.000186,12,923676678,12.61,4.63,1,-1,0,2023:2:3:6:48:14:100,2023-02-03 06:48:14.100,2308.188,0.050368641037852116
3920472136,456512200,2023:2:3:6:48:14,3,11.3831532,47.3121078,2308129,19,8,31,20,2686989,0.000195,11,923676678,12.61,4.63,1,-1,0,2023:2:3:6:48:14:200,2023-02-03 06:48:14.200,2308.129,0.03722902093797257
3920573608,456512300,2023:2:3:6:48:14,3,11.383153,47.3121075,2308196,-9,13,-1,16,2686989,0.000195,11,923676678,12.61,4.63,1,-1,0,2023:2:3:6:48:14:300,2023-02-03 06:48:14.300,2308.196,0.01584297951775486
3920668379,456512400,2023:2:3:6:48:14,3,11.3831528,47.3121075,2308163,-31,-71,10,77,2686989,0.000195,11,923676678,12.55,4.63,1,-1,0,2023:2:3:6:48:14:400,2023-02-03 06:48:14.400,2308.163,0.07811529939774922
