#microcontroller time [micro seconds],iTow[ms],utc[year:month:day:hour:minute:second],fixType[0-5],longitude[deg],latitude[deg],height[mm],velN[mm/s],velE[mm/s],velD[mm/s],gSpeed[mm/s],headMot[deg1e-5],pDop[],numSV[],ttff[ms],ambientTemp[C],objectTemp[C],gpsFlag[],check if syncFlag switched [bool],micros of switching time [us]#,date[ms],timestamp,height[m],v_total
3530488386,198076300,2023:3:28:7:0:58,3,11.3823568,47.3104555,2154205,27,28,17,38,16956430,0.0392,9,926547975,0.51,-0.81,1,-1,0,2023:3:28:7:0:58:300,2023-03-28 07:00:58.300,2154.205,0.042449970553582246
3530589641,198076400,2023:3:28:7:0:58,3,11.3823568,47.3104554,2154209,54,25,19,59,16956430,0.0392,9,926547975,0.51,-0.81,1,-1,0,2023:3:28:7:0:58:400,2023-03-28 07:00:58.400,2154.209,0.06246599074696566
3530689035,198076500,2023:3:28:7:0:58,3,11.3823568,47.3104556,2154134,84,25,29,88,16956430,0.0392,9,926547975,0.51,-0.81,1,-1,0,2023:3:28:7:0:58:500,2023-03-28 07:00:58.500,2154.134,0.09231467922275417
3530788057,198076600,2023:3:28:7:0:58,3,11.3823568,47.3104555,2154131,6,-10,24,12,16956430,0.0392,9,926547975,0.51,-0.81,1,-1,0,2023:3:28:7:0:58:600,2023-03-28 07:00:58.600,2154.131,0.026683328128252668
3530887058,198076700,2023:3:28:7:0:58,3,11.3823569,47.3104555,2154123,19,35,23,40,16956430,0.0392,9,926547975,0.51,-0.81,1,-1,0,2023:3:28:7:0:58:700,2023-03-28 07:00:58.700,2154.123,0.04598912915026768
3530988358,198076800,2023:3:28:7:0:58,3,11.382357,47.3104555,2154116,33,36,19,48,16956430,0.0392,9,926547975,0.51,-0.81,1,-1,0,2023:3:28:7:0:58:800,2023-03-28 07:00:58.800,2154.116,0.05240229002629561
3531085555,198076900,2023:3:28:7:0:58,3,11.3823569,47.3104557,2154013,33,-1,40,33,16956430,0.0392,9,926547975,0.51,-0.81,0,-1,0,2023:3:28:7:0:58:900,2023-03-28 07:00:58.900,2154.013,0.05186520991955976
3531190078,198077000,2023:3:28:7:0:59,3,11.3823568,47.3104557,2154068,54,-40,20,67,16956430,0.0392,9,926613511,0.51,-0.81,0,-1,0,2023:3:28:7:0:59:0,2023-03-28 07:00:59.000,2154.068,0.07011419257183242
3531288861,198077100,2023:3:28:7:0:59,3,11.3823569,47.3104558,2153994,-10,11,32,14,16956430,0.0392,9,926613511,0.49,-0.65,0,-1,0,2023:3:28:7:0:59:100,2023-03-28 07:00:59.100,2153.994,0.0352845575287547
3531388409,198077200,2023:3:28:7:0:59,3,11.3823569,47.3104558,2154021,8,-4,21,9,16956430,0.0392,9,926613511,0.49,-0.65,0,-1,0,2023:3:28:7:0:59:200,2023-03-28 07:00:59.200,2154.021,0.022825424421026655
3531487418,198077300,2023:3:28:7:0:59,3,11.382357,47.3104561,2153969,42,42,27,60,16956430,0.0392,9,926613511,0.49,-0.65,0,-1,0,2023:3:28:7:0:59:300,2023-03-28 07:00:59.300,2153.969,0.06524568951279464
3531588249,198077400,2023:3:28:7:0:59,3,11.3823569,47.3104562,2153920,24,-11,36,27,16956430,0.0392,9,926613511,0.49,-0.65,0,-1,0,2023:3:28:7:0:59:400,2023-03-28 07:00:59.400,2153.92,0.04464302857109943
3531687266,198077500,2023:3:28:7:0:59,3,11.3823569,47.3104562,2153945,3,-49,21,49,16956430,0.0392,9,926613511,0.49,-0.65,0,-1,0,2023:3:28:7:0:59:500,2023-03-28 07:00:59.500,2153.945,0.05339475629684998
3531788738,198077600,2023:3:28:7:0:59,3,11.382357,47.3104565,2153841,12,24,44,27,16956430,0.0392,9,926613511,0.49,-0.65,0,-1,0,2023:3:28:7:0:59:600,2023-03-28 07:00:59.600,2153.841,0.0515363949069005
3531888169,198077700,2023:3:28:7:0:59,3,11.3823571,47.3104565,2153858,23,35,35,42,16956430,0.053200000000000004,8,926613511,0.49,-0.65,0,-1,0,2023:3:28:7:0:59:700,2023-03-28 07:00:59.700,2153.858,0.05458021619598076
3531988356,198077800,2023:3:28:7:0:59,3,11.3823571,47.3104568,2153825,15,-37,30,40,16956430,0.0392,9,926613511,0.51,-0.69,0,-1,0,2023:3:28:7:0:59:800,2023-03-28 07:00:59.800,2153.825,0.04993996395673509
3532089230,198077900,2023:3:28:7:0:59,3,11.3823572,47.310457,2153764,16,32,37,36,16956430,0.0392,9,926613511,0.51,-0.69,1,-1,0,2023:3:28:7:0:59:900,2023-03-28 07:00:59.900,2153.764,0.05146843692983108
3532187289,198078000,2023:3:28:7:1:0,3,11.3823572,47.3104572,2153741,36,11,35,37,16956430,0.0392,9,922747143,0.51,-0.69,1,-1,0,2023:3:28:7:1:0:0,2023-03-28 07:01:00.000,2153.741,0.05140038910358559
3532289957,198078100,2023:3:28:7:1:0,3,11.3823571,47.3104573,2153705,-38,-76,31,85,16956430,0.0392,9,922747143,0.51,-0.69,1,-1,0,2023:3:28:7:1:0:100,2023-03-28 07:01:00.100,2153.705,0.090448880590088
3532385314,198078200,2023:3:28:7:1:0,3,11.3823573,47.3104575,2153655,28,32,35,42,16956430,0.0392,9,922747143,0.51,-0.69,1,-1,0,2023:3:28:7:1:0:200,2023-03-28 07:01:00.200,2153.655,0.05507267925205746
