#microcontroller time [micro seconds],iTow[ms],utc[year:month:day:hour:minute:second],fixType[0-5],longitude[deg],latitude[deg],height[mm],velN[mm/s],velE[mm/s],velD[mm/s],gSpeed[mm/s],headMot[deg1e-5],pDop[],numSV[],ttff[ms],ambientTemp[C],objectTemp[C],gpsFlag[],check if syncFlag switched [bool],micros of switching time [us]#,timestamp,height[m],date[ms]
3998025162,201100800,2022:2:22:7:51:22,3,11.3832753,47.3120013,2303848,-55,16,10,57,7939634,168,11,924201735,11.01,3.59,1,-1,0,2022-02-22 07:51:22.800,2303.848,2022:2:22:7:51:22:800
3998126064,201100900,2022:2:22:7:51:22,3,11.3832753,47.3120015,2303827,37,12,10,39,7939634,168,11,924201735,11.01,3.59,1,-1,0,2022-02-22 07:51:22.900,2303.827,2022:2:22:7:51:22:900
3998226380,201101000,2022:2:22:7:51:23,3,11.3832754,47.3120015,2303808,22,75,13,78,7939634,168,11,924267271,11.01,3.79,1,-1,0,2022-02-22 07:51:23.000,2303.808,2022:2:22:7:51:23:0
3998327338,201101100,2022:2:22:7:51:23,3,11.3832753,47.3120011,2303801,-93,122,20,154,7939634,168,11,924267271,11.01,3.79,1,-1,0,2022-02-22 07:51:23.100,2303.801,2022:2:22:7:51:23:100
3998425324,201101200,2022:2:22:7:51:23,3,11.3832749,47.3120011,2303829,-16,45,12,48,7939634,168,11,924267271,11.01,3.79,1,-1,0,2022-02-22 07:51:23.200,2303.829,2022:2:22:7:51:23:200
3998526144,201101300,2022:2:22:7:51:23,3,11.3832746,47.3120011,2303854,16,8,7,18,7939634,168,11,924267271,11.01,3.79,1,-1,0,2022-02-22 07:51:23.300,2303.854,2022:2:22:7:51:23:300
3998623287,201101400,2022:2:22:7:51:23,3,11.3832746,47.312001,2303887,27,71,4,76,7939634,168,11,924267271,11.01,3.79,1,-1,0,2022-02-22 07:51:23.400,2303.887,2022:2:22:7:51:23:400
3998727812,201101500,2022:2:22:7:51:23,3,11.3832743,47.3120008,2303922,-12,52,-4,54,7939634,168,11,924267271,11.01,3.79,0,-1,0,2022-02-22 07:51:23.500,2303.922,2022:2:22:7:51:23:500
3998825991,201101600,2022:2:22:7:51:23,3,11.383274,47.3120009,2303884,31,24,7,40,7939634,168,11,924267271,11.01,3.79,0,-1,0,2022-02-22 07:51:23.600,2303.884,2022:2:22:7:51:23:600
3998926169,201101700,2022:2:22:7:51:23,3,11.3832733,47.3120007,2303921,26,-34,3,42,7939634,168,11,924267271,10.93,3.53,0,-1,0,2022-02-22 07:51:23.700,2303.921,2022:2:22:7:51:23:700
3999025164,201101800,2022:2:22:7:51:23,3,11.3832729,47.3120005,2304000,-14,-25,-13,29,7939634,168,11,924267271,10.93,3.53,0,-1,0,2022-02-22 07:51:23.800,2304.0,2022:2:22:7:51:23:800
3999127857,201101900,2022:2:22:7:51:23,3,11.3832725,47.3120005,2303994,26,-58,-14,63,7939634,168,11,924267271,10.93,3.53,0,-1,0,2022-02-22 07:51:23.900,2303.994,2022:2:22:7:51:23:900
3999225080,201102000,2022:2:22:7:51:24,3,11.3832721,47.3120003,2303993,-22,-66,-13,70,7939634,168,11,924332807,10.93,3.53,0,-1,0,2022-02-22 07:51:24.000,2303.993,2022:2:22:7:51:24:0
3999327881,201102100,2022:2:22:7:51:24,3,11.3832721,47.3120004,2304018,56,-50,-23,75,7939634,168,11,924332807,10.93,3.53,0,-1,0,2022-02-22 07:51:24.100,2304.018,2022:2:22:7:51:24:100
3999426914,201102200,2022:2:22:7:51:24,3,11.3832719,47.3120001,2304040,-32,-4,-26,33,7939634,168,11,924332807,10.93,3.53,0,-1,0,2022-02-22 07:51:24.200,2304.04,2022:2:22:7:51:24:200
3999525933,201102300,2022:2:22:7:51:24,3,11.3832719,47.3119999,2304042,-50,32,-27,60,7939634,225,9,924332807,10.93,3.53,0,-1,0,2022-02-22 07:51:24.300,2304.042,2022:2:22:7:51:24:300
3999624931,201102400,2022:2:22:7:51:24,3,11.3832717,47.312,2304030,19,-8,-27,20,7939634,168,11,924332807,10.93,3.53,0,-1,0,2022-02-22 07:51:24.400,2304.03,2022:2:22:7:51:24:400
3999727223,201102500,2022:2:22:7:51:24,3,11.3832714,47.3119998,2304044,-2,-2,-28,3,7939634,168,11,924332807,10.95,3.75,1,-1,0,2022-02-22 07:51:24.500,2304.044,2022:2:22:7:51:24:500
3999824479,201102600,2022:2:22:7:51:24,3,11.3832711,47.3119998,2304056,23,-13,-30,26,7939634,168,11,924332807,10.95,3.75,1,-1,0,2022-02-22 07:51:24.600,2304.056,2022:2:22:7:51:24:600
3999925395,201102700,2022:2:22:7:51:24,3,11.3832708,47.3120001,2304052,133,-78,-36,154,7939634,168,11,924332807,10.95,3.75,1,-1,0,2022-02-22 07:51:24.700,2304.052,2022:2:22:7:51:24:700
4000026338,201102800,2022:2:22:7:51:24,3,11.3832709,47.3120005,2304063,243,-57,-45,250,7939634,168,11,924332807,10.95,3.75,1,-1,0,2022-02-22 07:51:24.800,2304.063,2022:2:22:7:51:24:800
4000127439,201102900,2022:2:22:7:51:24,3,11.3832708,47.3120003,2304034,112,8,-37,113,7939634,168,11,924332807,10.95,3.75,1,-1,0,2022-02-22 07:51:24.900,2304.034,2022:2:22:7:51:24:900
4000226518,201103000,2022:2:22:7:51:25,3,11.3832707,47.3119999,2304028,-36,77,-30,85,7939634,168,11,924398343,10.95,3.75,1,-1,0,2022-02-22 07:51:25.000,2304.028,2022:2:22:7:51:25:0
4000327446,201103100,2022:2:22:7:51:25,3,11.3832707,47.3119999,2303962,-46,125,-13,133,7939634,168,11,924398343,10.95,3.75,1,-1,0,2022-02-22 07:51:25.100,2303.962,2022:2:22:7:51:25:100
4000425915,201103200,2022:2:22:7:51:25,3,11.3832709,47.3120003,2303896,56,86,-8,102,7939634,168,11,924398343,11.03,3.55,1,-1,0,2022-02-22 07:51:25.200,2303.896,2022:2:22:7:51:25:200
4000526991,201103300,2022:2:22:7:51:25,3,11.3832706,47.3120001,2303922,28,49,-15,56,7939634,168,11,924398343,11.03,3.55,1,-1,0,2022-02-22 07:51:25.300,2303.922,2022:2:22:7:51:25:300
4000626081,201103400,2022:2:22:7:51:25,3,11.3832702,47.3120001,2303980,52,55,-26,76,7939634,168,11,924398343,11.03,3.55,1,-1,0,2022-02-22 07:51:25.400,2303.98,2022:2:22:7:51:25:400
4000726998,201103500,2022:2:22:7:51:25,3,11.3832696,47.3120001,2304063,110,17,-44,111,7939634,168,11,924398343,11.03,3.55,0,-1,0,2022-02-22 07:51:25.500,2304.063,2022:2:22:7:51:25:500
4000826077,201103600,2022:2:22:7:51:25,3,11.3832693,47.3120001,2304060,65,67,-38,93,7939634,168,11,924398343,11.03,3.55,0,-1,0,2022-02-22 07:51:25.600,2304.06,2022:2:22:7:51:25:600
4000927078,201103700,2022:2:22:7:51:25,3,11.3832694,47.3120003,2303980,90,91,-22,128,7939634,168,11,924398343,11.03,3.55,0,-1,0,2022-02-22 07:51:25.700,2303.98,2022:2:22:7:51:25:700
4001024297,201103800,2022:2:22:7:51:25,3,11.3832693,47.3120002,2303880,4,80,-2,80,7939634,168,11,924398343,11.03,3.55,0,-1,0,2022-02-22 07:51:25.800,2303.88,2022:2:22:7:51:25:800
4001126966,201103900,2022:2:22:7:51:25,3,11.3832688,47.3120003,2303845,31,27,4,41,7939634,168,11,924398343,11.03,3.55,0,-1,0,2022-02-22 07:51:25.900,2303.845,2022:2:22:7:51:25:900
4001223521,201104000,2022:2:22:7:51:26,3,11.3832685,47.3120006,2303782,100,-23,14,103,7939634,168,11,924463879,11.01,3.53,0,-1,0,2022-02-22 07:51:26.000,2303.782,2022:2:22:7:51:26:0
4001326401,201104100,2022:2:22:7:51:26,3,11.3832683,47.3120005,2303767,29,-11,16,31,7939634,168,11,924463879,11.01,3.53,0,-1,0,2022-02-22 07:51:26.100,2303.767,2022:2:22:7:51:26:100
4001425397,201104200,2022:2:22:7:51:26,3,11.3832684,47.3120003,2303743,-55,72,20,90,7939634,168,11,924463879,11.01,3.53,0,-1,0,2022-02-22 07:51:26.200,2303.743,2022:2:22:7:51:26:200
