#Data contains: GPS time of week of the navigation epoch (ms),UTC [year:month:day:minute:second],fix Type[0-5],longitude[deg],latitude[deg],height[mm],rising edge sync signal,Temp[°C]#,height[m]
205316300,2021:03:16:09:01:38,3,11.3832104,47.3122362,2322364,1,6.31,2322.364
205316400,2021:03:16:09:01:38,3,11.3832102,47.3122361,2322345,1,6.31,2322.345
205316500,2021:03:16:09:01:38,3,11.3832102,47.3122361,2322339,1,6.31,2322.339
205316600,2021:03:16:09:01:38,3,11.3832102,47.3122361,2322320,0,6.31,2322.32
205316700,2021:03:16:09:01:38,3,11.3832101,47.312236,2322312,0,6.31,2322.312
205316800,2021:03:16:09:01:38,3,11.3832102,47.312236,2322302,0,6.31,2322.302
205316900,2021:03:16:09:01:38,3,11.3832103,47.3122361,2322290,0,6.31,2322.29
205317000,2021:03:16:09:01:39,3,11.3832102,47.3122361,2322298,0,6.31,2322.298
205317100,2021:03:16:09:01:39,3,11.3832101,47.312236,2322276,0,6.31,2322.276
205317200,2021:03:16:09:01:39,3,11.3832101,47.3122361,2322270,0,6.31,2322.27
205317300,2021:03:16:09:01:39,3,11.3832102,47.3122361,2322259,0,6.31,2322.259
205317400,2021:03:16:09:01:39,3,11.3832101,47.312236,2322265,0,6.31,2322.265
205317500,2021:03:16:09:01:39,3,11.38321,47.312236,2322239,0,6.31,2322.239
205317600,2021:03:16:09:01:39,3,11.3832101,47.312236,2322241,1,6.31,2322.241
205317700,2021:03:16:09:01:39,3,11.3832101,47.3122361,2322247,1,6.31,2322.247
205317800,2021:03:16:09:01:39,3,11.38321,47.3122361,2322242,1,6.31,2322.242
205317900,2021:03:16:09:01:39,3,11.3832099,47.3122359,2322239,1,6.31,2322.239
205318000,2021:03:16:09:01:40,3,11.3832099,47.312236,2322244,1,6.31,2322.244
205318100,2021:03:16:09:01:40,3,11.3832098,47.3122359,2322235,1,6.31,2322.235
205318200,2021:03:16:09:01:40,3,11.3832099,47.3122359,2322239,1,6.31,2322.239
205318300,2021:03:16:09:01:40,3,11.3832098,47.3122359,2322229,1,6.31,2322.229
205318400,2021:03:16:09:01:40,3,11.3832097,47.3122358,2322225,1,6.31,2322.225
205318500,2021:03:16:09:01:40,3,11.3832096,47.3122357,2322208,1,6.31,2322.208
205318600,2021:03:16:09:01:40,3,11.3832095,47.3122358,2322210,0,6.31,2322.21
205318700,2021:03:16:09:01:40,3,11.3832094,47.3122357,2322211,0,6.31,2322.211
205318800,2021:03:16:09:01:40,3,11.3832094,47.3122357,2322210,0,6.31,2322.21
205318900,2021:03:16:09:01:40,3,11.3832093,47.3122357,2322209,0,6.31,2322.209
205319000,2021:03:16:09:01:41,3,11.3832092,47.3122356,2322188,0,6.25,2322.188
205319100,2021:03:16:09:01:41,3,11.3832093,47.3122355,2322183,0,6.25,2322.183
205319200,2021:03:16:09:01:41,3,11.3832092,47.3122355,2322158,0,6.25,2322.158
205319300,2021:03:16:09:01:41,3,11.3832092,47.3122355,2322166,0,6.25,2322.166
205319400,2021:03:16:09:01:41,3,11.3832091,47.3122354,2322153,0,6.25,2322.153
205319500,2021:03:16:09:01:41,3,11.3832091,47.3122354,2322135,0,6.25,2322.135
205319600,2021:03:16:09:01:41,3,11.383209,47.3122354,2322125,1,6.25,2322.125
205319700,2021:03:16:09:01:41,3,11.3832089,47.3122353,2322136,1,6.25,2322.136
205319800,2021:03:16:09:01:41,3,11.3832089,47.3122353,2322129,1,6.25,2322.129
205319900,2021:03:16:09:01:41,3,11.3832089,47.3122353,2322134,1,6.25,2322.134
205320000,2021:03:16:09:01:42,3,11.3832088,47.3122353,2322126,1,6.25,2322.126
205320100,2021:03:16:09:01:42,3,11.3832088,47.3122352,2322121,1,6.25,2322.121
205320200,2021:03:16:09:01:42,3,11.3832088,47.3122352,2322119,1,6.25,2322.119
205320300,2021:03:16:09:01:42,3,11.3832087,47.3122351,2322121,1,6.25,2322.121
205320400,2021:03:16:09:01:42,3,11.3832086,47.3122351,2322102,1,6.25,2322.102
205320500,2021:03:16:09:01:42,3,11.3832085,47.312235,2322104,1,6.25,2322.104
205320600,2021:03:16:09:01:42,3,11.3832085,47.312235,2322105,0,6.25,2322.105
205320700,2021:03:16:09:01:42,3,11.3832085,47.3122351,2322097,0,6.25,2322.097
205320800,2021:03:16:09:01:42,3,11.3832085,47.312235,2322098,0,6.25,2322.098
205320900,2021:03:16:09:01:42,3,11.3832084,47.3122351,2322108,0,6.25,2322.108
205321000,2021:03:16:09:01:43,3,11.3832084,47.3122349,2322087,0,6.25,2322.087
205321100,2021:03:16:09:01:43,3,11.3832084,47.312235,2322102,0,6.25,2322.102
205321200,2021:03:16:09:01:43,3,11.3832083,47.3122349,2322101,0,6.25,2322.101
