#microcontroller time [micro seconds],iTow[ms],utc[year:month:day:hour:minute:second],fixType[0-5],longitude[deg],latitude[deg],height[mm],velN[mm/s],velE[mm/s],velD[mm/s],gSpeed[mm/s],headMot[deg1e-5],pDop[],numSV[],ttff[ms],ambientTemp[C],objectTemp[C],gpsFlag[],check if syncFlag switched [bool],micros of switching time [us]#,date[ms],timestamp,height[m],v_total
4204589391,370588700,2022:2:3:6:56:10,3,11.383223,47.3120912,2309986,-28,-23,-31,36,2850412,1.46,12,923416582,9.53,3.29,0,-1,0,2022:2:3:6:56:10:700,2022-02-03 06:56:10.700,2309.986,0.04768647607026546
4204689809,370588800,2022:2:3:6:56:10,3,11.383223,47.3120911,2309995,-31,-3,-27,31,2850412,1.46,12,923416582,9.53,3.29,0,-1,0,2022:2:3:6:56:10:800,2022-02-03 06:56:10.800,2309.995,0.0412189276910499
4204789626,370588900,2022:2:3:6:56:10,3,11.3832233,47.3120911,2310032,5,78,-35,78,2850412,1.46,12,923416582,9.53,3.15,0,-1,0,2022:2:3:6:56:10:900,2022-02-03 06:56:10.900,2310.032,0.08563877626402656
4204890682,370589000,2022:2:3:6:56:11,3,11.3832231,47.3120909,2310067,-12,51,-39,53,2850412,1.46,12,923482118,9.53,3.15,0,-1,0,2022:2:3:6:56:11:0,2022-02-03 06:56:11.000,2310.067,0.06531462317123173
4204989229,370589100,2022:2:3:6:56:11,3,11.383223,47.3120907,2310104,-12,4,-46,12,2850412,1.46,12,923482118,9.53,3.15,0,-1,0,2022:2:3:6:56:11:100,2022-02-03 06:56:11.100,2310.104,0.04770744176750625
4205088150,370589200,2022:2:3:6:56:11,3,11.383223,47.3120908,2310103,-27,-11,-44,29,2850412,1.46,12,923482118,9.53,3.15,0,-1,0,2022:2:3:6:56:11:200,2022-02-03 06:56:11.200,2310.103,0.05278257288158659
4205188558,370589300,2022:2:3:6:56:11,3,11.3832231,47.3120908,2310106,-40,-2,-44,40,2850412,1.46,12,923482118,9.53,3.15,0,-1,0,2022:2:3:6:56:11:300,2022-02-03 06:56:11.300,2310.106,0.05949789912257407
4205286297,370589400,2022:2:3:6:56:11,3,11.3832229,47.3120906,2310136,-64,-39,-48,75,2850412,1.46,12,923482118,9.53,3.15,1,-1,0,2022:2:3:6:56:11:400,2022-02-03 06:56:11.400,2310.136,0.089
4205388504,370589500,2022:2:3:6:56:11,3,11.3832229,47.3120907,2310138,-1,-31,-43,31,2850412,1.46,12,923482118,9.53,3.15,1,-1,0,2022:2:3:6:56:11:500,2022-02-03 06:56:11.500,2310.138,0.05301886456724625
4205489263,370589600,2022:2:3:6:56:11,3,11.3832225,47.3120902,2310169,-103,-25,-40,106,2850412,1.46,12,923482118,9.53,3.41,1,-1,0,2022:2:3:6:56:11:600,2022-02-03 06:56:11.600,2310.169,0.11328724553099523
4205589671,370589700,2022:2:3:6:56:11,3,11.3832227,47.3120905,2310161,-25,-23,-40,34,2850412,1.46,12,923482118,9.53,3.41,1,-1,0,2022:2:3:6:56:11:700,2022-02-03 06:56:11.700,2310.161,0.052478567053607705
4205688629,370589800,2022:2:3:6:56:11,3,11.383223,47.3120907,2310162,-10,-15,-45,18,2850412,1.46,12,923482118,9.53,3.41,1,-1,0,2022:2:3:6:56:11:800,2022-02-03 06:56:11.800,2310.162,0.04847679857416329
4205789139,370589900,2022:2:3:6:56:11,3,11.3832231,47.3120908,2310156,11,22,-39,25,2850412,1.46,12,923482118,9.53,3.41,1,-1,0,2022:2:3:6:56:11:900,2022-02-03 06:56:11.900,2310.156,0.04610856753359401
4205889527,370590000,2022:2:3:6:56:12,3,11.3832228,47.3120908,2310135,10,-41,-23,42,2850412,1.46,12,923547654,9.53,3.41,1,-1,0,2022:2:3:6:56:12:0,2022-02-03 06:56:12.000,2310.135,0.04806245936279167
4205989908,370590100,2022:2:3:6:56:12,3,11.3832224,47.3120902,2310202,-59,-28,-34,65,2850412,1.46,12,923547654,9.53,3.41,1,-1,0,2022:2:3:6:56:12:100,2022-02-03 06:56:12.100,2310.202,0.07362744053679986
4206090318,370590200,2022:2:3:6:56:12,3,11.3832228,47.3120907,2310169,53,14,-25,55,2850412,1.46,12,923547654,9.53,3.41,1,-1,0,2022:2:3:6:56:12:200,2022-02-03 06:56:12.200,2310.169,0.060249481325568274
4206189053,370590300,2022:2:3:6:56:12,3,11.3832225,47.3120906,2310172,4,-58,-21,58,2850412,1.46,12,923547654,9.53,3.41,1,-1,0,2022:2:3:6:56:12:300,2022-02-03 06:56:12.300,2310.172,0.06181423784210237
4206291038,370590400,2022:2:3:6:56:12,3,11.3832231,47.312091,2310125,34,41,-10,53,2850412,1.46,12,923547654,9.31,2.81,0,-1,0,2022:2:3:6:56:12:400,2022-02-03 06:56:12.400,2310.125,0.05419409561935691
4206389603,370590500,2022:2:3:6:56:12,3,11.3832231,47.3120909,2310136,40,62,-5,74,2850412,1.46,12,923547654,9.31,2.81,0,-1,0,2022:2:3:6:56:12:500,2022-02-03 06:56:12.500,2310.136,0.07395268757793728
4206489984,370590600,2022:2:3:6:56:12,3,11.3832226,47.3120906,2310151,20,22,2,30,2850412,1.56,11,923547654,9.31,2.81,0,-1,0,2022:2:3:6:56:12:600,2022-02-03 06:56:12.600,2310.151,0.02979932885150268
4206586961,370590700,2022:2:3:6:56:12,3,11.3832225,47.3120903,2310182,39,42,1,58,2850412,1.46,12,923547654,9.31,2.81,0,-1,0,2022:2:3:6:56:12:700,2022-02-03 06:56:12.700,2310.182,0.05732364259186606
4206691015,370590800,2022:2:3:6:56:12,3,11.3832224,47.3120902,2310230,59,23,-8,63,2850412,1.46,12,923547654,9.31,2.81,0,-1,0,2022:2:3:6:56:12:800,2022-02-03 06:56:12.800,2310.23,0.06382789358893179
4206789580,370590900,2022:2:3:6:56:12,3,11.3832226,47.3120902,2310239,24,24,-11,34,2850412,1.46,12,923547654,9.31,2.81,0,-1,0,2022:2:3:6:56:12:900,2022-02-03 06:56:12.900,2310.239,0.03567912554982255
4206890323,370591000,2022:2:3:6:56:13,3,11.3832225,47.3120899,2310266,13,24,-9,28,2850412,1.46,12,923613190,9.31,2.81,0,-1,0,2022:2:3:6:56:13:0,2022-02-03 06:56:13.000,2310.266,0.02874021572639983
