#microcontroller time [micro seconds],iTow[ms],utc[year:month:day:hour:minute:second],fixType[0-5],longitude[deg],latitude[deg],height[mm],velN[mm/s],velE[mm/s],velD[mm/s],gSpeed[mm/s],headMot[deg1e-5],pDop[],numSV[],ttff[ms],ambientTemp[C],objectTemp[C],gpsFlag[],check if syncFlag switched [bool],micros of switching time [us]#,timestamp,height[m],date[ms]
4037630294,201133400,2022:2:22:7:51:55,3,11.3832134,47.3120637,2312319,65,-126,50,142,16564293,171,10,926364423,10.19,3.49,0,-1,0,2022-02-22 07:51:55.400,2312.319,2022:2:22:7:51:55:400
4037732817,201133500,2022:2:22:7:51:55,3,11.3832135,47.3120639,2312288,87,-55,62,103,16564293,171,10,926364423,10.19,3.37,0,-1,0,2022-02-22 07:51:55.500,2312.288,2022:2:22:7:51:55:500
4037831917,201133600,2022:2:22:7:51:55,3,11.3832133,47.312064,2312306,50,-71,52,87,16564293,171,10,926364423,10.19,3.37,0,-1,0,2022-02-22 07:51:55.600,2312.306,2022:2:22:7:51:55:600
4037933278,201133700,2022:2:22:7:51:55,3,11.3832134,47.3120641,2312303,7,-34,49,35,16564293,171,10,926364423,10.19,3.37,0,-1,0,2022-02-22 07:51:55.700,2312.303,2022:2:22:7:51:55:700
4038032387,201133800,2022:2:22:7:51:55,3,11.3832134,47.3120642,2312285,-4,-16,50,16,16564293,171,10,926364423,10.19,3.37,0,-1,0,2022-02-22 07:51:55.800,2312.285,2022:2:22:7:51:55:800
4038133722,201133900,2022:2:22:7:51:55,3,11.3832137,47.3120644,2312237,-28,25,57,37,16564293,171,10,926364423,10.19,3.37,0,-1,0,2022-02-22 07:51:55.900,2312.237,2022:2:22:7:51:55:900
4038232842,201134000,2022:2:22:7:51:56,3,11.3832137,47.3120645,2312222,-32,25,57,40,16564293,171,10,926429959,10.19,3.37,0,-1,0,2022-02-22 07:51:56.000,2312.222,2022:2:22:7:51:56:0
4038333783,201134100,2022:2:22:7:51:56,3,11.3832138,47.3120644,2312230,-53,28,56,59,16564293,171,10,926429959,10.19,3.37,0,-1,0,2022-02-22 07:51:56.100,2312.23,2022:2:22:7:51:56:100
4038432908,201134200,2022:2:22:7:51:56,3,11.3832135,47.3120646,2312264,3,-11,47,11,16564293,171,10,926429959,10.19,3.37,1,-1,0,2022-02-22 07:51:56.200,2312.264,2022:2:22:7:51:56:200
4038534024,201134300,2022:2:22:7:51:56,3,11.3832135,47.3120647,2312269,40,-17,48,44,16564293,171,10,926429959,10.19,3.63,1,-1,0,2022-02-22 07:51:56.300,2312.269,2022:2:22:7:51:56:300
4038631287,201134400,2022:2:22:7:51:56,3,11.3832135,47.3120648,2312265,54,6,58,54,16564293,171,10,926429959,10.19,3.63,1,-1,0,2022-02-22 07:51:56.400,2312.265,2022:2:22:7:51:56:400
4038734045,201134500,2022:2:22:7:51:56,3,11.3832128,47.3120647,2312340,31,-51,57,60,16564293,168,11,926429959,10.19,3.63,1,-1,0,2022-02-22 07:51:56.500,2312.34,2022:2:22:7:51:56:500
4038831352,201134600,2022:2:22:7:51:56,3,11.3832128,47.3120648,2312361,46,-47,52,65,16564293,171,10,926429959,10.19,3.63,1,-1,0,2022-02-22 07:51:56.600,2312.361,2022:2:22:7:51:56:600
4038930898,201134700,2022:2:22:7:51:56,3,11.3832127,47.312065,2312386,75,-38,46,84,16564293,225,9,926429959,10.19,3.63,1,-1,0,2022-02-22 07:51:56.700,2312.386,2022:2:22:7:51:56:700
4039031829,201134800,2022:2:22:7:51:56,3,11.3832124,47.3120651,2312398,57,-97,47,113,16564293,171,10,926429959,10.19,3.63,1,-1,0,2022-02-22 07:51:56.800,2312.398,2022:2:22:7:51:56:800
4039133130,201134900,2022:2:22:7:51:56,3,11.3832124,47.3120652,2312427,90,-67,46,112,16564293,171,10,926429959,10.19,3.63,1,-1,0,2022-02-22 07:51:56.900,2312.427,2022:2:22:7:51:56:900
4039231604,201135000,2022:2:22:7:51:57,3,11.3832121,47.3120653,2312430,71,-106,52,128,16564293,171,10,926495495,10.17,3.79,1,-1,0,2022-02-22 07:51:57.000,2312.43,2022:2:22:7:51:57:0
4039332992,201135100,2022:2:22:7:51:57,3,11.3832122,47.3120654,2312449,55,-73,48,91,16564293,171,10,926495495,10.17,3.79,1,-1,0,2022-02-22 07:51:57.100,2312.449,2022:2:22:7:51:57:100
4039432133,201135200,2022:2:22:7:51:57,3,11.3832126,47.3120654,2312483,42,15,43,44,16564293,171,10,926495495,10.17,3.79,0,-1,0,2022-02-22 07:51:57.200,2312.483,2022:2:22:7:51:57:200
4039533053,201135300,2022:2:22:7:51:57,3,11.383213,47.3120654,2312498,11,65,41,66,16564293,171,10,926495495,10.17,3.79,0,-1,0,2022-02-22 07:51:57.300,2312.498,2022:2:22:7:51:57:300
4039632145,201135400,2022:2:22:7:51:57,3,11.3832135,47.3120654,2312489,-37,101,49,108,16564293,171,10,926495495,10.17,3.79,0,-1,0,2022-02-22 07:51:57.400,2312.489,2022:2:22:7:51:57:400
4039733848,201135500,2022:2:22:7:51:57,3,11.3832137,47.3120654,2312471,-82,86,56,119,16564293,171,10,926495495,10.17,3.79,0,-1,0,2022-02-22 07:51:57.500,2312.471,2022:2:22:7:51:57:500
4039832907,201135600,2022:2:22:7:51:57,3,11.3832137,47.3120652,2312550,-113,56,44,126,16564293,171,10,926495495,10.17,3.79,0,-1,0,2022-02-22 07:51:57.600,2312.55,2022:2:22:7:51:57:600
4039933795,201135700,2022:2:22:7:51:57,3,11.3832142,47.3120654,2312566,19,139,39,140,16564293,171,10,926495495,10.17,3.79,0,-1,0,2022-02-22 07:51:57.700,2312.566,2022:2:22:7:51:57:700
4040032222,201135800,2022:2:22:7:51:57,3,11.3832146,47.3120656,2312515,-44,130,52,137,16564293,171,10,926495495,10.11,3.71,0,-1,0,2022-02-22 07:51:57.800,2312.515,2022:2:22:7:51:57:800
4040132014,201135900,2022:2:22:7:51:57,3,11.3832149,47.3120659,2312425,-57,114,71,128,16564293,171,10,926495495,10.11,3.71,0,-1,0,2022-02-22 07:51:57.900,2312.425,2022:2:22:7:51:57:900
4040230685,201136000,2022:2:22:7:51:58,3,11.3832157,47.3120661,2312371,-61,200,83,209,16564293,171,10,926561031,10.11,3.71,0,-1,0,2022-02-22 07:51:58.000,2312.371,2022:2:22:7:51:58:0
4040333041,201136100,2022:2:22:7:51:58,3,11.3832158,47.312066,2312401,-83,147,76,169,16564293,171,10,926561031,10.11,3.71,0,-1,0,2022-02-22 07:51:58.100,2312.401,2022:2:22:7:51:58:100
4040433587,201136200,2022:2:22:7:51:58,3,11.3832161,47.3120662,2312403,-42,135,76,141,16564293,171,10,926561031,10.11,3.71,1,-1,0,2022-02-22 07:51:58.200,2312.403,2022:2:22:7:51:58:200
4040531359,201136300,2022:2:22:7:51:58,3,11.3832158,47.3120664,2312412,13,39,77,41,16564293,171,10,926561031,10.11,3.71,1,-1,0,2022-02-22 07:51:58.300,2312.412,2022:2:22:7:51:58:300
4040631828,201136400,2022:2:22:7:51:58,3,11.3832155,47.3120665,2312446,51,-18,71,55,16564293,171,10,926561031,10.11,3.71,1,-1,0,2022-02-22 07:51:58.400,2312.446,2022:2:22:7:51:58:400
4040731668,201136500,2022:2:22:7:51:58,3,11.3832152,47.3120664,2312533,43,-50,54,66,16564293,171,10,926561031,10.23,3.75,1,-1,0,2022-02-22 07:51:58.500,2312.533,2022:2:22:7:51:58:500
4040832140,201136600,2022:2:22:7:51:58,3,11.3832152,47.3120661,2312623,4,-24,33,25,16564293,171,10,926561031,10.23,3.75,1,-1,0,2022-02-22 07:51:58.600,2312.623,2022:2:22:7:51:58:600
4040931255,201136700,2022:2:22:7:51:58,3,11.3832154,47.3120663,2312597,19,3,38,19,16564293,171,10,926561031,10.23,3.75,1,-1,0,2022-02-22 07:51:58.700,2312.597,2022:2:22:7:51:58:700
4041031724,201136800,2022:2:22:7:51:58,3,11.3832159,47.3120664,2312603,-17,75,33,77,16564293,171,10,926561031,10.23,3.75,1,-1,0,2022-02-22 07:51:58.800,2312.603,2022:2:22:7:51:58:800
4041132201,201136900,2022:2:22:7:51:58,3,11.3832162,47.3120665,2312570,-32,68,36,75,16564293,171,10,926561031,10.23,3.75,1,-1,0,2022-02-22 07:51:58.900,2312.57,2022:2:22:7:51:58:900
